video_id,title,description,channel,published_at
ZffR97u6bNU,nama THIRUVOTTYUR la imported shoes available #thiruvottiyur #treanding #chennai,,Sneakers land,2023-02-21T19:25:14Z
yEih3z6fooA,Sneakers says #chennai #shoes #chennaimemes #fashionstyle #chennaitrending #fashion #ipl #bag #sale,,Luxus Footwear,2025-04-18T12:39:39Z
nLE2GKXeMOM,Nike Shoes ✅Real or Fake ❌ || How to check #shoes #nike #viral #trending #shorts,Nike Shoes ✓Real or Fake ❌ || How to Check . . . . #viral #shortvideo #trending #shoes #viralvideo #youtubeshorts ...,Men's Fashion style,2023-09-01T04:39:54Z
SwzAAbPz0ZQ,Crocs  all types availabe #shoes #sneakers #nike #chennaionlinestore #555shoes  #sneakerhead,"For order online Whatsapp 7868905884 Instagram 555_shoes_online 555 shoes, 28th cross street, besant nagar. chennai-90.",555 Shoes,2025-01-01T06:29:35Z
9Nyrdccpw9g,Chennai safety  shoe  showroom @three star traders-broadway-9840234111,,THREE STAR TRADERS,2022-10-17T18:19:30Z
6S8kLhEuE1Y,Branded Shoes available now at #1wayshoes 👟✨❤️  #tondiarpet #cheapestshoes #chennai #tamilvideo,,1 Way Shoes,2022-07-09T09:51:27Z
bo2IadWfbbA,"SS FOOTWEAR - MR NAGAR - Chennai Available kids school shoes,Bags. like &amp; subscribe our @SS FOOTWEAR",, SS FOOTWEAR ,2023-01-27T11:18:56Z
QGM8scYL9fo,Footwear😍 #shorts #explore #trending #chennai #viral #zudio #footwear #affordableprice #affordable,,Monika Gaur,2023-01-26T13:50:19Z
2jHopCHaJ0g,Language Shoes store | VR Chennai,,Language Shoes,2022-03-21T05:03:09Z
5eoHk2SnE_M,FILA Slippers #1wayshoes Full video on YouTube #tondiarpet #cheapestshoes #chennai #fashion,,1 Way Shoes,2022-07-16T05:53:02Z
tcFjWHEHass,Hiker clogs at low price | fullforce clog | literide2 | 1 way shoes,"Clog Hiker,Fulforce,Literide 2 available in 1 way shoes Dm for size and price Grab it soon . @1way_shoe . 1 WAY SHOES All ...",1 Way Shoes,2023-12-04T11:30:20Z
sIXaqfc2I7g,+918903429150#chennai  #instafashion #instadaily #instaviral #shorts #shoes #instareelsindia❤️,,AR Online Shop,2021-11-26T18:38:41Z
05HVQ11lK_o,🔥 Imported sneakers #shoes #chennai #2023 #thiruneermalai #main road 🛣️ #copy,,Dauntless Shoes,2023-11-23T01:25:47Z
lS7ep3GN2J0,industrial Safety Shoe 9840234111 Three Star Traders Chennai Broadway,,THREE STAR TRADERS,2022-01-11T17:40:24Z
NDA-7HsBiZo,Chennai Pallavaram| பல்லாவார சந்தை பிராண்டட் க்ரோக்ஸ் Crocs குறைந்த விலையில் 😲 Friday only| #crocs,,Travel Galaxy,2022-09-17T18:45:28Z
b0x0uSdiNZY,🔥Imported sneakers 😎shoes #2023  #shoes #chennai  #Thiruneermalai main road #nagalkeni🔜,,Dauntless Shoes,2023-11-22T11:52:09Z
dGC0V568yAA,M a shoes luxury #leather ## Periamet Chennai,M a shoes Periamet Chennai .Phone 9500193606.,m a shoes,2019-05-08T23:15:20Z
aITOXIOCAxk,Printed Dolphin Sandals | Multi colors available at our store #1wayshoes #shoes #chennai #shorts #,Printed Dolphin Sandals @1way.shoe . Multi colors available at our store❤️   . Size : 7 to 11 . Offer price : ₹550/- MRP ...,1 Way Shoes,2023-04-11T11:06:05Z
x_qmSjA3kNk,Cheapest Item At Adidas Store!!!!!,,Kiran Kumar,2024-02-21T12:30:40Z
fP4tKcungJA,Nike Alphafly 3 🏃‍♂️#nikealphafly #alphafly3 #alphafly #running #sneakers #sports #shoes #run #shoe,nike #nikealphafly #running #shoes #nikefootball #nikeshoes #vapormax #alpha3 #prototype #sneaker #sneakers #women ...,Go Run,2025-03-06T08:59:25Z
d2A39eJ_Iso,Budget friendly &amp; shoes 👟 Running &amp; workout #coachmathi #motivation #fit_tamila #coachmathi365,,Coach Mathi Fit-தமிழா,2024-06-29T04:34:12Z
u0NsAjaAa3E,How to choose perfect running🏃‍♂️jogging🏃‍♂️&amp;sports shoes👟 #coachmathi #sports #shoes #fit_tamila,,Coach Mathi Fit-தமிழா,2024-07-12T04:59:03Z
sNDcYQc4ECQ,Nike Alphafly 2 First Copy Price 🤩 Best Shoes for Running #running #runner #runningshoes,,Nagpur Brands,2023-10-26T18:21:15Z
R2D9_VXvFcA,The PUMA Fast-RB 🔥What do you think of this unbelievable bit of kit?! 👀 #running #runningshoes,,Pro:Direct Running,2024-08-28T10:06:58Z
Z7cMWZVtyRE,Abros Fleet running shoes for men #shoes #abros #abrosfleet #running #runningshoes #columbus #sports,Abros Fleet running shoes for men Abros running shoes Running shoes Best running shoes Columbus nxg Best 5 running shoes ...,JADON SHOES STORE ,2024-11-01T07:17:31Z
iga9LXxCiso,RUNNING பண்ண இந்த shoe  👟 try பண்ணி பாருங்க best budget friendly #runningshoe #coachmathi #running,BEST RUNNING SHOE . @decathlonsportsindia . . Try to go Decathalon sports ⚽️ show Room are Download Decathalon ...,Coach Mathi Fit-தமிழா,2023-08-10T14:26:45Z
WCb5hJRfMG8,Adidas Sambas Alternative in 1500 ? 😱,,THE SHOE UNBOXER,2025-04-27T06:30:52Z
wf4xS1FmHys,Test Asics Magic Speed 4 Carbon vs Novablast 5 No Carbon #top4running #runningmotivation #running,,Trung Sneaker,2025-04-07T14:57:19Z
Y660kP4fvtY,🔥 Top 5 Running Shoes of 2025 (so far),"Top 5 Running Shoes of 2025 (so far) From carbon-plated beasts to daily trainers with serious speed, here are the shoes ...",Athletico,2025-07-13T04:21:34Z
BNeha-xvusU,Salomon running spike | best running spike 2024 #salomonrunning #salomon #sprint,,Shoes Alpha Geek,2024-12-09T03:30:04Z
gy_EZAfcuBA,PUMA vs Brooks👟💨,,Jeremy Miller,2025-03-13T18:12:10Z
lzBjmMoWppk,Alpha fly next 2% running shoes #viral #trending #nike #army  #motivation #1600m @sahiljaat0828,,Sahil Tumbaheria,2024-06-16T05:38:33Z
YE5Md2UdNx0,Nike Alphafly 2 Ekiden Zoom #nike #running #shoes #sneakers #runningshoes #sports #fitness #run,nike #running #shoes #nikefootball #nikeshoes #vapormax #alpha3 #prototype #sneakers #sneaker #women #men #sportshoes ...,Go Run,2025-01-01T08:23:26Z
aQXkY5pVUIw,New Balance FuelCell Rebel v4 Running #newbalance #new #sneaker #running #runner #rebel,"New Balance FuelCell Rebel v4 Running #newbalance #new #sneaker #running #runner #rebel new balance rebel v4,new ...",Shoeworld,2024-06-26T17:25:06Z
M7iHcqerkvg,🔥Destroying Nike Alphafly Next% 1 | Watch Till The End! #shorts #fyp #nikealphafly,Destroying Nike Alphafly Next% 1 | Watch Till The End! How Tough Is the Alphafly Next% 1 Really?! We put the legendary ...,Glidners,2025-04-29T01:56:01Z
b8k4s4R_Pfc,Nike Invincible 3 &amp; Asics Gel-Nimbus 25,,Ryan's Running Reviews ,2023-05-01T23:45:01Z
kTA3e4_b34I,Adidas Fluo M Running Shoes Black,,Dhruv Kumar,2023-03-19T14:43:53Z
ooDnAvaPmrQ,Puma Deviate Nitro 3 - Fireglow #puma #running #runner #nitro #sneaker,"Puma Deviate Nitro 3 - Fireglow #puma #running #runner #nitro #sneaker puma deviate nitro elite,puma deviate nitro elite 2 ...",Shoeworld,2024-06-07T12:55:42Z
-lB8nYxidFo,abros hyperfuse running shoes - Best Shoes Under 1500 - Shoe For Running #shoes #shorts,"Abros Drift Shoe - Best Shoes Under 1500 - Abros Running Shoe #shoes #shorts #runningshoes abros running shoes,abros ...",Ashish Rathore vlogs,2024-10-23T07:00:00Z
b-zYjdkgWuI,Excited to announce that Brooks is now in Chennai! 😍🔥,Excited to announce that Brooks is now in Chennai! Visit the store Bikerz Sports and grab your pair of Brooks that you were ...,Brooks Running India,2022-03-19T13:26:56Z
Bwm6RoS9y60,Budget Adidas Sneakers ! Adidas sambas Alternatives starting Rs 1200/-,,THE SHOE UNBOXER,2025-05-12T07:57:59Z
yrR02aQAyOw,Comparison of MAX cushioned shoes! #nikerunning  #asicsrunning,"You come to the running store, you see Nike Vomero 18 for $150. Soft and Comfortable. But then you see ASICS Nimbus for $200 ...",RUN FAQ,2025-03-24T22:55:20Z
KoxqMFqMe5c,Action Turbo 504 Running Shoes — 1 of Top Pick Under ₹1200🔥 ?,Action Turbo 504 Running Shoes | Action Turbo 502 Running Shoes | Action Turbo 503 Running Shoes | Action Turbo Shoes ...,RP Richwear,2025-06-27T14:10:42Z
lbQYpilF_sc,DECATHLON KALENJI RUNACTIVE RUNNING SHOES|  2022 🏃‍♂️🏃‍♂️👟👟,,GOOD CHOICE,2022-11-17T10:24:41Z
sVXK4UjmG9Q,Alphafly 3 footstrike comparison!🦶🏃Which type are you? #runningshoes,,RunRepeat.com,2024-04-21T19:28:54Z
ZzK-kdlyoNI,Review of Yonex V100-i badminton shoes | best shoes under ₹2000,,BADMINTON INSPIRATION,2024-12-12T04:41:07Z
E_dZ8wS87II,one of the best collection in Chennai shoes,,Mohan Mohan,2023-03-19T15:43:13Z
qR9dabhXJQ4,✅ SHOES WITH CARBON PLATE vs ❌ SHOES WITHOUT CARBON PLATE. What do you think? 🤔 #running #shoes,,The Fashion Jogger,2024-03-30T18:36:53Z
Q-B6vPGzAQw,New balance SC elite V4 Running shoes #shorts,,Shoes Hub,2024-08-24T04:25:19Z
XRntgbtNEbM,Asics Novablast 4 Running Shoes #shorts,Asics Novablast 4 Full Review in Hindi | Best Daily Training Running Shoes 2025? Asics Novablast 4 Full Review in Hindi!,Raman Footwear Store,2025-06-21T10:43:08Z
ysS4Kk0USGA,This running shoe is illegal!,c: runnersnerd on instagram alexfilitti on TikTok.,Arcdelio,2024-05-06T13:43:58Z
-EkUJGYfaI8,FAKE ❌  PUMA SHOES RECIEVED FROM AJIO 👟 😱| #shorts,Product link:- https://ajio.page.link/eE3TbjDd2V6ZKY9X8.,Susmitha Nikhil,2023-04-27T11:46:12Z
Tyi_NaL_5Xw,Best sports shoe under 1800 🔥😍❤️,"Subscribe for more Fashion, Grooming, Skin and hair tips Videos ❣️     Follow me in Facebook page for more Videos ...",Shadhik Azeez,2023-04-18T13:51:40Z
pbYroGVc1mc,⚡PUMA ROBUST V2👟❤ BEST RUNNING 🏃‍♂️ SHOES👉 MUST BUY ❤LINK IN DESCRIPTION ❤#puma #running #systummm,Take a look at this PUMA Robust V2 Sneakers For Men on Flipkart https://dl.flipkart.com/s/_OL_UbNNNN #flipkart #runningshoes ...,DN TECH,2023-10-25T15:55:13Z
R_O4MEvsOKc,Nike Dragonfly 2 Elite #spikes #nike #running #spike #run #gorun #sneakers  #sports #athleticshoes,spikes #nike #running #spike #run #gorun #sneakers #sports #athleticshoes.,Go Run,2025-02-24T22:14:26Z
3O0qTqDdogg,I tested cheap vs expensive running shoes!,,Lets Test Laurence,2022-12-24T23:27:55Z
sEsm9Wlio38,Enake vipudhiya da.. 10K shoe va 🤯♥️🔥 shadhikazeez,Telegram channel name- Offers for subscribers' Channel has 118K subscribers.,Shadhik Azeez,2025-01-18T17:29:54Z
QbSXyJs8M8k,ரூ. 699 Original Branded Shoes | Branded Certified Shoe in Club 365 | Vimals lifestyle,"Quick updates Follow me instagram ID : https://vimalslifestyle.page.link/dhgB Club365 146/12, First Floor, Vepery High Road, ...",Vimals lifestyle,2025-07-03T08:49:32Z
2rMezKPyOmM,💥🤯 Advocates-கு. இது Dhan BEST Shoe⁉️😱 | #shorts | @NazeemVlogger,For Business Enquiries / What's app : 9514567668 Join Us On Instagram : https://www.instagram.com/nazeem_offl/?hl=en Twitter: ...,Nazeem Vlogger,2025-06-24T13:45:03Z
cB1Pc6b09W8,"Bounce Test: Best Running Shoes Under ₹5000 | ASICS, Brooks, Adidas| Energy Return Compared in Tamil",I put 5 popular running shoes under ₹5000 through a bounce test ⚡ to see which one delivers the most energy return and ...,RunWithBala,2025-08-21T20:18:46Z
mI7c70LDRgo,Skechers shoe unboxing | my new shoes | ULTRA GO MAX CUSHIONING | #skechers,"buy these shoes here https://amzn.to/3Xq9uIL skechers shoes, ultra go max, extra cushioning . skechers shoes skechers shoes for ...",Satya's vox,2021-03-17T08:49:13Z
VkxK2nh1kms,INTERNATIONAL ATHLETE 800M NEW SHOES #viral,,indian Gurmeet 400m,2022-11-09T06:05:19Z
xpNiaqOGoMo,MENS FAST RUNNING SHOES KD500 2 in Decathlon #mens #fast #running #shoes #decathlon #shorts #viral,,Abhi DueCool,2023-10-05T07:11:48Z
-d2bJ-iTtzc,SSC GD 5km physical best Running shoes||# youtubeshort #SSC GD PHYSICAL,,informative R.k,2025-06-22T12:38:56Z
IZDMkEjVE7s,Adidas Duramo RC | Budget Running Shoes,Adidas Duramo RC is a budget-friendly running shoe designed for beginners and everyday runners. Key Features: Lightweight ...,Bem Kicks,2025-04-18T20:30:02Z
WZdzgTVp55k,ASICS GEL NIMBUS 25 🔥,,THE SHOE UNBOXER,2024-04-23T02:30:13Z
3yhdfrAX09s,Best Running Shoes Under ₹3000 in India | Adidas Runfalcon 5 vs UltraRun 5 vs Switch Run in Tamil,Looking for the best budget running shoes under ₹3000 in India? ‍♂️   I tested 3 Adidas budget models: Adidas Runfalcon 5 ...,RunWithBala,2025-08-21T20:14:08Z
kCDIaWT-L7Y,ரூ. 750 Original Branded Shoes | Branded Certified Shoe in Club 365 | Vimals lifestyle,"Quick updates Follow me instagram ID : https://vimalslifestyle.page.link/dhgB Club365 146/12, First Floor, Vepery High Road, ...",Vimals lifestyle,2025-08-07T10:24:58Z
1y7Vj6uO230,Puma Fast RB Nitro elite running shoes #shoes #puma #runningshoes #pumafastrb #pumarb #pumashoes,Puma Fast RB Nitro elite running shoes #shoes #puma #runningshoes #pumafastrb #pumarb #pumashoes Men Puma Fast RB ...,JADON SHOES STORE ,2024-12-31T17:55:54Z
M5kYVy7z-oY,Traction test for the Giannis Immortality 4 😈 #basketballshoes #giannisimmortality,,ls_hoops,2024-10-10T16:02:03Z
ZLNqILyj-6E,LeBron 20 Outside,,DGHoops,2023-06-17T22:00:16Z
kENL6XY8A6A,Nike Kobe 5 Protro Traction Test! 🐍 #basketballshoes #kobebryant #nike,,Zackuragi,2025-02-28T22:22:44Z
fP4tKcungJA,Nike Alphafly 3 🏃‍♂️#nikealphafly #alphafly3 #alphafly #running #sneakers #sports #shoes #run #shoe,nike #nikealphafly #running #shoes #nikefootball #nikeshoes #vapormax #alpha3 #prototype #sneaker #sneakers #women ...,Go Run,2025-03-06T08:59:25Z
7ZTG2VbDzzk,Nike Precision 6 Traction Test! #basketballshoes #nike #nikebasketball,,Zackuragi,2023-06-27T16:52:48Z
inCNjAzi5Xw,Real Vs Fake University Blue Jordan 1 #sneakerhead #sneakers #viral,Foot Candy Sneakerhead Community Channel Sneaker Website Link - https://www.footcandysnkrs.com/ (Discount Code ...,Foot Candy 👟🍭,2023-05-11T10:49:48Z
XqQNfGF47xw,Top 10 Basketball Shoes of 2025 #basketballshoes #sneakers,"Top 10 Basketball Shoes of 2024 Hoops heads and sneaker fanatics, get ready! This video breaks down the TOP 10 basketball ...",Bem Kicks,2024-12-25T08:30:19Z
DAKFVxcH9kU,6 Basketball Shoe Brands! What’s Best? 😳,,DGHoops,2024-12-27T20:05:33Z
Bb135tuCTL4,Testing $400 BANNED NBA Shoes 👠,shorts #basketball #nba #dunking.,McDeezy,2025-01-13T20:05:18Z
KPYdV221O34,TOP 5 AFFORDABLE BASKETBALL SHOES 🔥🤑💯,,DGHoops,2024-07-07T20:00:06Z
zE1-yJ5nqrQ,The Evolution of Basketball Shoes,The Evolution of Basketball Shoes.,Dame Universe,2025-01-21T20:54:16Z
s7i6Ngwbv4E,I tested cheap 💰vs expensive 💰💰💰basketball shoes!,,Lets Test Laurence,2022-12-13T23:53:11Z
x5HrIOKB6gQ,10 New Basketball Shoes In My Collection 🔥🥵‼️,,DGHoops,2025-08-02T20:26:31Z
g8bvgj57d3k,Best Basketball Shoe Of All Time,,DGHoops,2023-05-19T15:00:36Z
WVEOS9DSkz4,Top 5 Most Comfortable Basketball Shoes,,DGHoops,2023-11-12T21:00:11Z
3WXnPaSYI7k,TOP 22 BASKETBALL SHOES EVER! 🏀,,Marky,2025-06-20T22:58:37Z
_wZwnqEyVpA,Lebron Basketball Shoes VS Curry Basketball Shoes,,Oliver Kowal,2024-03-13T16:12:12Z
IH6NUDUdTc0,5 Best Basketball Shoes For Ankle Sprain Protection - Fall 2025,Real Foot Doctor reviews the top 5 basketball shoes for ankle sprainers for fall 2025 Check out how to max out YOUR shoes ...,The Shoe Garage,2025-08-26T14:35:11Z
VEGiBfqAu6A,Testing the Most POPULAR Basketball Shoes EVER! 🏀 #Basketball #Sneakers #Kobe6 #NBA #MarkyLaPointe,,Marky,2025-08-21T09:04:26Z
dUg_zruaPwM,WHAT&#39;S THE BEST BASKETBALL SHOE?? 🤔🏀👟 #basketballshoes,,Court Candy,2025-03-28T00:37:17Z
KpHZaoCxQDs,My extreme hobby: basketball shoes 😭🏀,,Marky,2023-12-08T23:58:43Z
NN0KENied5o,Best Basketball Shoe Of 2025? 🥵,,DGHoops,2025-07-19T20:52:12Z
8Yje5XwMuqg,Traction test for the GT Cut 3 Turbo! 🏎️ #basketballshoes #gtcut3turbo #gtcut3,,ls_hoops,2025-08-08T20:47:04Z
GHUbd_JqIxE,Trying All the Newest Basketball Shoes🏀,,Steve Natto Sneaker Reviews,2025-08-09T04:51:30Z
K18VzAdJMGg,"$4,000 Kobe Shoes vs $200 Basketball Shoes",Kobe 6 shoes vs $200 361 Patrick shoes.,DunkBroDavid,2025-01-26T00:55:52Z
F5_zZf-A_2g,6 Outdoor Basketball Shoes You NEED To Try! #basketballshoes #basketball #ballislife,,Zackuragi,2025-05-25T15:02:58Z
gHVWymuji4I,XERO X1 Barefoot Basketball Shoe Review 🦶🤯🔥,,DGHoops,2025-03-26T20:06:45Z
Gkp1wg8aLLw,Nicest Budget Basketball Shoe 👀💰🔥,,DGHoops,2025-07-17T16:00:34Z
SwIk1fOjPNY,10 Basketball Shoes With Good Traction 🔥👀🛝,,DGHoops,2025-03-05T21:13:30Z
lGCZCHqwa7E,$1 vs $300 Basketball Shoes!😂,,Later Slater,2024-07-02T17:00:27Z
LY5rRrPFfFE,10 Basketball Shoes With Good Cushion,,DGHoops,2024-12-29T21:56:16Z
Tv3CUej0MKk,Nike Sabrina 2 Performance Review! 🦆 #nike #sabrinaionescu #basketballshoes #ballislife,,Zackuragi,2025-01-03T15:40:38Z
TcLxUuHttRA,10 Elite Basketball Shoes For Guards 🔥👍😍,,DGHoops,2025-03-21T23:51:25Z
7CFkG8otK_Y,BEST BASKETBALL SHOE OF ALL TIME?? 🤔🏀👟 #basketballshoes #meshshorts #compressionsleeves,,Court Candy,2025-08-05T20:17:41Z
CrXyRHG1wGY,The Best Budget Basketball Shoes     #basketball #basketballshoes #hoopshoes,,Techo ,2025-07-16T05:34:42Z
r2Em8Thlb6U,4 BEST Budget Basketball Shoes Right Now! 👀 #basketballshoes #ballisllife #sneakers,,Zackuragi,2024-12-02T23:51:53Z
clPey3LwP3c,THE BEST BASKETBALL SHOES I’VE EVER WORN!,,Marky,2025-04-01T11:08:10Z
N7zVanL7AxY,Top 5 Basketball Shoe Brands In The NBA 🤷😈🔥,,DGHoops,2025-04-28T00:06:33Z
1kFuIXcLd_A,Nivia Engraver Basketball Shoes Grip Test #basketballshoes #niviasports #fiba #sports #engraver,,Pendu Warriors ,2025-03-01T06:27:33Z
is6BmDtrjmQ,5 Rare Basketball Shoes In My Collection 🔥🥵👀,,DGHoops,2025-08-09T18:43:07Z
fBzGeNGIRM0,World’s Most DANGEROUS Basketball Shoes,,Marky,2025-08-29T03:31:02Z
fssYc3IN4vI,World’s Most BOUNCY Basketball Shoes,,Marky,2025-08-29T05:52:24Z
GyPjNwOybSc,Top 10 Basketball Shoes For Guards 🏀,,DGHoops,2024-01-28T15:00:13Z
V2C-5xhhOEo,WHAT&#39;S THE BEST BASKETBALL SHOE?? 🏀👟🤔 #basketballshoes,,Court Candy,2025-04-03T05:33:35Z
Ix4Llc28lU0,BEST VS WORST NIKE BASKETBALL SHOES 2025! 🏀👟,,Marky,2025-06-03T06:48:15Z
wGeJL2Ecako,The most expensive basketball shoes you can buy,These are the most expensive basketball shoes you can buy.,DunkBroDavid,2025-07-24T03:12:04Z
_KxhnM757kg,My Top 5 Favorite Hoop Shoes Currently (February 2025) 🏀👟 #sneaker #sneakers #basketball #review,,Vin,2025-02-02T08:36:55Z
VjoBP3xbKG4,The BEST Basketball Shoes THIS YEAR 🔥🔥,,JDub,2025-04-16T18:05:37Z
4st7jYwXQIM,Ja 2 - Basketball Shoes 🏀,shorts #shoes #basketball #nba #sneakers #jamorant #2025 #sports #nike.,Arise,2025-06-17T22:03:37Z
w6lHFqLRACM,5 Most Underrated &amp; Affordable Basketball Shoes! #shorts,basketballshoes #tierlist #sneakers In this video we go through almost 80 pairs of basketball shoes released in the past year and ...,Tommy Liu,2023-10-19T00:00:25Z
_szCnFOdDn8,Sports clothes at lowest price in chennai #sportsclothshopchennai #drifit #mshop,"sports jersey ,tracks ,shorts etc.... are available in lowest price with more offers! Visit Mayilon sports wear Location: ...",Irai Frames,2022-01-27T10:38:45Z
